"id","Schedule Name","Category Name","Regular Price","Sale Price","Width","Length"
"82087","A","","194","","24","36"
"82088","A","","294","","33","64"
"82089","A","","294","","33","65"
"82090","A","","294","","33","66"
"82091","A","","305","","33","67"
"82092","A","","305","","33","68"
"82093","A","","305","","33","69"
"82094","A","","305","","33","70"
"82095","A","","305","","33","71"
"82096","A","","305","","33","72"
"82097","A","","328","","33","73"
"82098","A","","328","","33","74"
"82099","A","","328","","33","75"
"82100","A","","328","","33","76"
"82101","A","","328","","33","77"
"82102","A","","328","","33","78"
"82103","A","","328","","33","79"
"82104","A","","328","","33","80"
"82105","A","","328","","33","81"
"82106","A","","328","","33","82"
"82107","A","","328","","33","83"
"82108","A","","328","","33","84"
"82109","A","","352","","33","85"
"82110","A","","352","","33","86"
"82111","A","","352","","33","87"
"82112","A","","352","","33","88"
"82113","A","","352","","33","89"
"82114","A","","352","","33","90"
"82115","A","","352","","33","91"
"82116","A","","352","","33","92"
"82117","A","","352","","33","93"
"82118","A","","352","","33","94"
"82119","A","","352","","33","95"
"82120","A","","352","","33","96"
"82121","A","","376","","33","97"
"82122","A","","376","","33","98"
"82123","A","","376","","33","99"
"82124","A","","376","","33","100"
"82125","A","","376","","33","101"
"82126","A","","376","","33","102"
"82127","A","","376","","33","103"
"82128","A","","376","","33","104"
"82129","A","","376","","33","105"
"82130","A","","376","","33","106"
"82131","A","","376","","33","107"
"82132","A","","376","","33","108"
"82133","A","","420","","33","109"
"82134","A","","420","","33","110"
"82135","A","","420","","33","111"
"82136","A","","420","","33","112"
"82137","A","","420","","33","113"
"82138","A","","420","","33","114"
"82139","A","","420","","33","115"
"82140","A","","420","","33","116"
"82141","A","","420","","33","117"
"82142","A","","420","","33","118"
"82143","A","","420","","33","119"
"82144","A","","420","","33","120"
"82145","A","","236","","34","36"
"82146","A","","259","","34","37"
"82147","A","","259","","34","38"
"82148","A","","259","","34","39"
"82149","A","","259","","34","40"
"82150","A","","259","","34","41"
"82151","A","","259","","34","42"
"82152","A","","259","","34","43"
"82153","A","","259","","34","44"
"82154","A","","259","","34","45"
"82155","A","","259","","34","46"
"82156","A","","259","","34","47"
"82157","A","","259","","34","48"
"82158","A","","283","","34","49"
"82159","A","","283","","34","50"
"82160","A","","283","","34","51"
"82161","A","","283","","34","52"
"82162","A","","283","","34","53"
"82163","A","","283","","34","54"
"82164","A","","283","","34","55"
"82165","A","","283","","34","56"
"82166","A","","283","","34","57"
"82167","A","","283","","34","58"
"82168","A","","283","","34","59"
"82169","A","","283","","34","60"
"82170","A","","294","","34","61"
"82171","A","","294","","34","62"
"82172","A","","294","","34","63"
"82173","A","","294","","34","64"
"82174","A","","294","","34","65"
"82175","A","","294","","34","66"
"82176","A","","305","","34","67"
"82177","A","","305","","34","68"
"82178","A","","305","","34","69"
"82179","A","","305","","34","70"
"82180","A","","305","","34","71"
"82181","A","","305","","34","72"
"82182","A","","328","","34","73"
"82183","A","","328","","34","74"
"82184","A","","328","","34","75"
"82185","A","","328","","34","76"
"82186","A","","328","","34","77"
"82187","A","","328","","34","78"
"82188","A","","328","","34","79"
"82189","A","","328","","34","80"
"82190","A","","328","","34","81"
"82191","A","","328","","34","82"
"82192","A","","328","","34","83"
"82193","A","","328","","34","84"
"82194","A","","352","","34","85"
"82195","A","","352","","34","86"
"82196","A","","352","","34","87"
"82197","A","","352","","34","88"
"82198","A","","352","","34","89"
"82199","A","","352","","34","90"
"82200","A","","352","","34","91"
"82201","A","","352","","34","92"
"82202","A","","352","","34","93"
"82203","A","","352","","34","94"
"82204","A","","352","","34","95"
"82205","A","","352","","34","96"
"82206","A","","376","","34","97"
"82207","A","","376","","34","98"
"82208","A","","376","","34","99"
"82209","A","","376","","34","100"
"82210","A","","376","","34","101"
"82211","A","","376","","34","102"
"82212","A","","376","","34","103"
"82213","A","","376","","34","104"
"82214","A","","376","","34","105"
"82215","A","","376","","34","106"
"82216","A","","376","","34","107"
"82217","A","","376","","34","108"
"82218","A","","420","","34","109"
"82219","A","","420","","34","110"
"82220","A","","420","","34","111"
"82221","A","","420","","34","112"
"82222","A","","420","","34","113"
"82223","A","","420","","34","114"
"82224","A","","420","","34","115"
"82225","A","","420","","34","116"
"82226","A","","420","","34","117"
"82227","A","","420","","34","118"
"82228","A","","420","","34","119"
"82229","A","","420","","34","120"
"82230","A","","236","","35","36"
"82231","A","","259","","35","37"
"82232","A","","259","","35","38"
"82233","A","","259","","35","39"
"82234","A","","259","","35","40"
"82235","A","","259","","35","41"
"82236","A","","259","","35","42"
"82237","A","","259","","35","43"
"82238","A","","259","","35","44"
"82239","A","","259","","35","45"
"82240","A","","259","","35","46"
"82241","A","","259","","35","47"
"82242","A","","259","","35","48"
"82243","A","","283","","35","49"
"82244","A","","283","","35","50"
"82245","A","","283","","35","51"
"82246","A","","283","","35","52"
"82247","A","","283","","35","53"
"82248","A","","283","","35","54"
"82249","A","","283","","35","55"
"82250","A","","283","","35","56"
"82251","A","","283","","35","57"
"82252","A","","283","","35","58"
"82253","A","","283","","35","59"
"82254","A","","283","","35","60"
"82255","A","","294","","35","61"
"82256","A","","294","","35","62"
"82257","A","","294","","35","63"
"82258","A","","294","","35","64"
"82259","A","","294","","35","65"
"82260","A","","294","","35","66"
"82261","A","","305","","35","67"
"82262","A","","305","","35","68"
"82263","A","","305","","35","69"
"82264","A","","305","","35","70"
"82265","A","","305","","35","71"
"82266","A","","305","","35","72"
"82267","A","","328","","35","73"
"82268","A","","328","","35","74"
"82269","A","","328","","35","75"
"82270","A","","328","","35","76"
"82271","A","","328","","35","77"
"82272","A","","328","","35","78"
"82273","A","","328","","35","79"
"82274","A","","328","","35","80"
"82275","A","","328","","35","81"
"82276","A","","328","","35","82"
"82277","A","","328","","35","83"
"82278","A","","328","","35","84"
"82279","A","","352","","35","85"
"82280","A","","352","","35","86"
"82281","A","","352","","35","87"
"82282","A","","352","","35","88"
"82283","A","","352","","35","89"
"82284","A","","352","","35","90"
"82285","A","","352","","35","91"
"82286","A","","352","","35","92"
"82287","A","","352","","35","93"
"82288","A","","352","","35","94"
"82289","A","","352","","35","95"
"82290","A","","352","","35","96"
"82291","A","","376","","35","97"
"82292","A","","376","","35","98"
"82293","A","","376","","35","99"
"82294","A","","376","","35","100"
"82295","A","","376","","35","101"
"82296","A","","376","","35","102"
"82297","A","","376","","35","103"
"82298","A","","376","","35","104"
"82299","A","","376","","35","105"
"82300","A","","376","","35","106"
"82301","A","","376","","35","107"
"82302","A","","376","","35","108"
"82303","A","","420","","35","109"
"82304","A","","420","","35","110"
"82305","A","","420","","35","111"
"82306","A","","420","","35","112"
"82307","A","","420","","35","113"
"82308","A","","420","","35","114"
"82309","A","","420","","35","115"
"82310","A","","420","","35","116"
"82311","A","","420","","35","117"
"82312","A","","420","","35","118"
"82313","A","","420","","35","119"
"82314","A","","420","","35","120"
"82315","A","","236","","36","36"
"82316","A","","259","","36","37"
"82317","A","","259","","36","38"
"82318","A","","259","","36","39"
"82319","A","","259","","36","40"
"82320","A","","259","","36","41"
"82321","A","","259","","36","42"
"82322","A","","259","","36","43"
"82323","A","","259","","36","44"
"82324","A","","259","","36","45"
"82325","A","","259","","36","46"
"82326","A","","259","","36","47"
"82327","A","","259","","36","48"
"82328","A","","283","","36","49"
"82329","A","","283","","36","50"
"82330","A","","283","","36","51"
"82331","A","","283","","36","52"
"82332","A","","283","","36","53"
"82333","A","","283","","36","54"
"82334","A","","283","","36","55"
"82335","A","","283","","36","56"
"82336","A","","283","","36","57"
"82337","A","","283","","36","58"
"82338","A","","283","","36","59"
"82339","A","","283","","36","60"
"82340","A","","294","","36","61"
"82341","A","","294","","36","62"
"82342","A","","294","","36","63"
"82343","A","","294","","36","64"
"82344","A","","294","","36","65"
"82345","A","","294","","36","66"
"82346","A","","305","","36","67"
"82347","A","","305","","36","68"
"82348","A","","305","","36","69"
"82349","A","","305","","36","70"
"82350","A","","305","","36","71"
"82351","A","","305","","36","72"
"82352","A","","328","","36","73"
"82353","A","","328","","36","74"
"82354","A","","328","","36","75"
"82355","A","","328","","36","76"
"82356","A","","328","","36","77"
"82357","A","","328","","36","78"
"82358","A","","328","","36","79"
"82359","A","","328","","36","80"
"82360","A","","328","","36","81"
"82361","A","","328","","36","82"
"82362","A","","328","","36","83"
"82363","A","","328","","36","84"
"82364","A","","352","","36","85"
"82365","A","","352","","36","86"
"82366","A","","352","","36","87"
"82367","A","","352","","36","88"
"82368","A","","352","","36","89"
"82369","A","","352","","36","90"
