id,Schedule Name,Category Name,Regular Price,Sale Price,Width,Length
1,A,,194,,24,36
794,A,,294,,33,64
795,A,,294,,33,65
796,A,,294,,33,66
797,A,,305,,33,67
798,A,,305,,33,68
799,A,,305,,33,69
800,A,,305,,33,70
801,A,,305,,33,71
802,A,,305,,33,72
803,A,,328,,33,73
804,A,,328,,33,74
805,A,,328,,33,75
806,A,,328,,33,76
807,A,,328,,33,77
808,A,,328,,33,78
809,A,,328,,33,79
810,A,,328,,33,80
811,A,,328,,33,81
812,A,,328,,33,82
813,A,,328,,33,83
814,A,,328,,33,84
815,A,,352,,33,85
816,A,,352,,33,86
817,A,,352,,33,87
818,A,,352,,33,88
819,A,,352,,33,89
820,A,,352,,33,90
821,A,,352,,33,91
822,A,,352,,33,92
823,A,,352,,33,93
824,A,,352,,33,94
825,A,,352,,33,95
826,A,,352,,33,96
827,A,,376,,33,97
828,A,,376,,33,98
829,A,,376,,33,99
830,A,,376,,33,100
831,A,,376,,33,101
832,A,,376,,33,102
833,A,,376,,33,103
834,A,,376,,33,104
835,A,,376,,33,105
836,A,,376,,33,106
837,A,,376,,33,107
838,A,,376,,33,108
839,A,,420,,33,109
840,A,,420,,33,110
841,A,,420,,33,111
842,A,,420,,33,112
843,A,,420,,33,113
844,A,,420,,33,114
845,A,,420,,33,115
846,A,,420,,33,116
847,A,,420,,33,117
848,A,,420,,33,118
849,A,,420,,33,119
850,A,,420,,33,120
851,A,,236,,34,36
852,A,,259,,34,37
853,A,,259,,34,38
854,A,,259,,34,39
855,A,,259,,34,40
856,A,,259,,34,41
857,A,,259,,34,42
858,A,,259,,34,43
859,A,,259,,34,44
860,A,,259,,34,45
861,A,,259,,34,46
862,A,,259,,34,47
863,A,,259,,34,48
864,A,,283,,34,49
865,A,,283,,34,50
866,A,,283,,34,51
867,A,,283,,34,52
868,A,,283,,34,53
869,A,,283,,34,54
870,A,,283,,34,55
871,A,,283,,34,56
872,A,,283,,34,57
873,A,,283,,34,58
874,A,,283,,34,59
